"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10,C5,C8";"C_0603_1608Metric";3;"10uF";;;
2;"P2,P1,N3,N2,N1,P3";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";6;"PAD";;;
3;"R4";"R_0402_1005Metric";1;"100";;;
4;"C2,C1";"C_0402_1005Metric";2;"TBD";;;
5;"C7,C4,C6,C9";"C_0402_1005Metric";4;"1uF";;;
6;"Q1,Q2,Q3";"SOT-23";3;"TSM2314 or IRLML6344TRPbF";;;
7;"P6,P5";"SolderWirePad_1x01_SMD_1x2mm";2;"PAD";;;
8;"J1";"coaxial_u.fl-r-smt-1";1;"Conn_Coaxial";;;
9;"PG1";"PinHeader_1x05_P1.27mm_Vertical";1;"CONN_01X04";;;
10;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"40Mhz";;;
11;"VIN1,GND1";"SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm";2;"WIRE";;;
12;"R2";"R_0402_1005Metric";1;"10k";;;
13;"C3";"C_0402_1005Metric";1;"100nF";;;
14;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"ESP32-C3";;;
15;"R3";"R_0402_1005Metric";1;"4k7";;;
16;"P7";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"PUSH";;;
17;"L1,L2";"L_0402_1005Metric";2;"TBD";;;
18;"R1";"R_0402_1005Metric";1;"100k";;;
19;"AE1";"Texas_SWRA117D_2.4GHz_Left";1;"Antenna";;;
20;"U3";"SOT-23";1;"AP2210N-3.3TRG1";;;
21;"P4";"SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm";1;"RGB_OUT";;;
